,French,English
0,partie,part
1,chercher,search
2,seulement,only
3,police,police
4,aide,help
5,demande,request
6,genre,kind
7,mois,month
8,frère,brother
9,laisser,let
10,mettre,to put
11,aucun,no
12,eux,them
13,ville,city
14,chaque,each
15,parlé,speak
16,arrivé,come
17,devrait,should
18,bébé,baby
19,longtemps,long time
20,heures,hours
21,vont,will
22,pendant,while
23,revoir,meet again
24,compris,understood
25,savais,knew
26,étaient,were
27,attention,Warning
28,voici,here is
29,pourrais,could
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,train,train
35,corps,body
36,yeux,eyes
37,façon,way
38,écoute,listen
39,trouve,find
40,perdu,lost
41,main,hand
42,première,first
43,côté,side
44,pouvoir,power
45,vieux,old
46,tiens,here
47,tellement,so much
48,enfant,child
49,point,point
50,venu,came
51,suite,after
52,pardon,sorry
53,venez,come
54,devant,in front of
55,vers,towards
56,minutes,minutes
57,mis,placed
58,aimerais,would like to
59,aujourd'hui,today
60,mari,husband
61,cause,cause
62,enfin,finally
63,espère,hope
64,eau,water
65,attendez,Wait
66,parti,left
67,boulot,job
68,arrêter,Stop
69,dirait,would say
70,terre,Earth
71,compte,account
72,donne,given
73,loin,far
74,croire,believe
75,plutôt,rather
76,aura,will have
77,filles,girls
78,jouer,to play
79,bureau,office
